artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Bring Me The Horizon,Throne,0.426,0.888,0,-3.72,0,0.0987,0.000455,0,0.306,0.387,144.111,audio_features,0M3adYbGtyRHACP86dey1H,spotify:track:0M3adYbGtyRHACP86dey1H,https://api.spotify.com/v1/tracks/0M3adYbGtyRHACP86dey1H,https://api.spotify.com/v1/audio-analysis/0M3adYbGtyRHACP86dey1H,191520,4
Roy Jones Jr.,Can't Be Touched (feat. Mr. Magic & Trouble),0.642,0.777,4,-4.809,0,0.094,0.00323,0,0.227,0.413,96.986,audio_features,3zmduBNsQ6BPDTZAkXzG5K,spotify:track:3zmduBNsQ6BPDTZAkXzG5K,https://api.spotify.com/v1/tracks/3zmduBNsQ6BPDTZAkXzG5K,https://api.spotify.com/v1/audio-analysis/3zmduBNsQ6BPDTZAkXzG5K,214400,4
From Ashes to New,Scars That I'm Hiding (feat. Anders Fridén of In Flames),0.492,0.93,2,-3.826,0,0.0396,1.17e-05,0,0.307,0.431,126.039,audio_features,0UOtF2ojhKGYEjvZ28ZA6d,spotify:track:0UOtF2ojhKGYEjvZ28ZA6d,https://api.spotify.com/v1/tracks/0UOtF2ojhKGYEjvZ28ZA6d,https://api.spotify.com/v1/audio-analysis/0UOtF2ojhKGYEjvZ28ZA6d,175603,4
Egypt Central,Over And Under,0.402,0.983,1,-3.816,0,0.0721,7.29e-05,0,0.294,0.363,103.096,audio_features,6Lah64e21cUytn0QXfuOoF,spotify:track:6Lah64e21cUytn0QXfuOoF,https://api.spotify.com/v1/tracks/6Lah64e21cUytn0QXfuOoF,https://api.spotify.com/v1/audio-analysis/6Lah64e21cUytn0QXfuOoF,175053,4
Fearless Motivation,Struggle Made Me Stronger,0.358,0.886,9,-4.48,0,0.25,0.000645,0,0.113,0.238,173.965,audio_features,3vMtLNMANvkPuDthcLuQzJ,spotify:track:3vMtLNMANvkPuDthcLuQzJ,https://api.spotify.com/v1/tracks/3vMtLNMANvkPuDthcLuQzJ,https://api.spotify.com/v1/audio-analysis/3vMtLNMANvkPuDthcLuQzJ,213000,4
Above Snakes,81 (Thallium),0.516,0.947,1,-3.331,1,0.0459,1.52e-05,0.00216,0.376,0.437,122.012,audio_features,4Jog077ySdARc65pWqtS4r,spotify:track:4Jog077ySdARc65pWqtS4r,https://api.spotify.com/v1/tracks/4Jog077ySdARc65pWqtS4r,https://api.spotify.com/v1/audio-analysis/4Jog077ySdARc65pWqtS4r,173305,4
Fort Minor,Remember the Name (feat. Styles of Beyond),0.688,0.835,8,-4.162,1,0.0911,0.0583,2.87e-06,0.0795,0.88,84.858,audio_features,6ndmKwWqMozN2tcZqzCX4K,spotify:track:6ndmKwWqMozN2tcZqzCX4K,https://api.spotify.com/v1/tracks/6ndmKwWqMozN2tcZqzCX4K,https://api.spotify.com/v1/audio-analysis/6ndmKwWqMozN2tcZqzCX4K,230493,4
Skillet,The Resistance,0.483,0.941,2,-3.598,0,0.0575,0.000526,3.5e-06,0.31,0.503,156.033,audio_features,5O9Dz0h08LuBi0aVvDcylh,spotify:track:5O9Dz0h08LuBi0aVvDcylh,https://api.spotify.com/v1/tracks/5O9Dz0h08LuBi0aVvDcylh,https://api.spotify.com/v1/audio-analysis/5O9Dz0h08LuBi0aVvDcylh,232067,4
Sum 41,Still Waiting,0.431,0.95,7,-4.918,1,0.26,0.00105,3.63e-05,0.272,0.56,191.936,audio_features,0jqK7sGTLsHPkQrrcrGuKD,spotify:track:0jqK7sGTLsHPkQrrcrGuKD,https://api.spotify.com/v1/tracks/0jqK7sGTLsHPkQrrcrGuKD,https://api.spotify.com/v1/audio-analysis/0jqK7sGTLsHPkQrrcrGuKD,158733,4
Fearless Motivation,Remember Why You Started,0.377,0.785,2,-7.891,0,0.0812,0.00219,0.0408,0.155,0.136,170.083,audio_features,2siqSsVoviIIkwb9D4A9wj,spotify:track:2siqSsVoviIIkwb9D4A9wj,https://api.spotify.com/v1/tracks/2siqSsVoviIIkwb9D4A9wj,https://api.spotify.com/v1/audio-analysis/2siqSsVoviIIkwb9D4A9wj,230000,4
Billy Talent,Viking Death March,0.371,0.963,7,-2.85,0,0.125,0.00319,0,0.448,0.371,108.724,audio_features,6l78mUZ86r0NrfRgni0LuM,spotify:track:6l78mUZ86r0NrfRgni0LuM,https://api.spotify.com/v1/tracks/6l78mUZ86r0NrfRgni0LuM,https://api.spotify.com/v1/audio-analysis/6l78mUZ86r0NrfRgni0LuM,242990,3
T. Powell,Ready for War,0.709,0.836,1,-5.55,1,0.32,0.226,0,0.103,0.706,165.902,audio_features,5aZceoAnPoEdxwFaim3jqf,spotify:track:5aZceoAnPoEdxwFaim3jqf,https://api.spotify.com/v1/tracks/5aZceoAnPoEdxwFaim3jqf,https://api.spotify.com/v1/audio-analysis/5aZceoAnPoEdxwFaim3jqf,189416,4
Rise Against,Savior,0.554,0.932,5,-3.424,0,0.0485,0.00154,0.000142,0.425,0.478,112.49,audio_features,1vcxF91pWs9uNwDROuiCPB,spotify:track:1vcxF91pWs9uNwDROuiCPB,https://api.spotify.com/v1/tracks/1vcxF91pWs9uNwDROuiCPB,https://api.spotify.com/v1/audio-analysis/1vcxF91pWs9uNwDROuiCPB,242280,4
Dead Eyes,Caged,0.523,0.83,1,-9.704,1,0.0415,0.00147,2.26e-06,0.334,0.332,110.014,audio_features,0p1fTundDhGnJQhFRC2NkQ,spotify:track:0p1fTundDhGnJQhFRC2NkQ,https://api.spotify.com/v1/tracks/0p1fTundDhGnJQhFRC2NkQ,https://api.spotify.com/v1/audio-analysis/0p1fTundDhGnJQhFRC2NkQ,160486,4
NEFFEX,Fight Back,0.716,0.946,1,-3.412,1,0.261,0.094,6.63e-05,0.0825,0.587,139.943,audio_features,6KigD0mlF4VGDYiSEzAyYw,spotify:track:6KigD0mlF4VGDYiSEzAyYw,https://api.spotify.com/v1/tracks/6KigD0mlF4VGDYiSEzAyYw,https://api.spotify.com/v1/audio-analysis/6KigD0mlF4VGDYiSEzAyYw,200571,4
Awake At Last,The Other Side,0.413,0.795,5,-3.872,1,0.0641,0.00967,2.84e-06,0.234,0.304,142.933,audio_features,4mxCVpoOijEYRDCtEdVFkM,spotify:track:4mxCVpoOijEYRDCtEdVFkM,https://api.spotify.com/v1/tracks/4mxCVpoOijEYRDCtEdVFkM,https://api.spotify.com/v1/audio-analysis/4mxCVpoOijEYRDCtEdVFkM,241960,4
Skillet,Hero,0.533,0.967,1,-2.543,1,0.0995,0.00791,0,0.336,0.782,142.018,audio_features,0sdeLSxygcjyMyWPhZBdFs,spotify:track:0sdeLSxygcjyMyWPhZBdFs,https://api.spotify.com/v1/tracks/0sdeLSxygcjyMyWPhZBdFs,https://api.spotify.com/v1/audio-analysis/0sdeLSxygcjyMyWPhZBdFs,186813,4
LaLion,Chris Tucker,0.897,0.585,5,-10.532,0,0.0527,0.38,0,0.129,0.754,115.014,audio_features,3tbayNU3N2dxF7nUi3A9yo,spotify:track:3tbayNU3N2dxF7nUi3A9yo,https://api.spotify.com/v1/tracks/3tbayNU3N2dxF7nUi3A9yo,https://api.spotify.com/v1/audio-analysis/3tbayNU3N2dxF7nUi3A9yo,147356,4
Rise Against,Make It Stop (September's Children),0.407,0.975,1,-3.176,1,0.0779,0.000578,1.42e-05,0.112,0.564,154.486,audio_features,0wHNrrefyaeVewm4NxjxrX,spotify:track:0wHNrrefyaeVewm4NxjxrX,https://api.spotify.com/v1/tracks/0wHNrrefyaeVewm4NxjxrX,https://api.spotify.com/v1/audio-analysis/0wHNrrefyaeVewm4NxjxrX,234787,4
From Ashes to New,My Fight,0.498,0.972,8,-3.443,1,0.196,0.000994,0,0.213,0.334,74.99,audio_features,5HDG2PPLki6wowJvZbAH9d,spotify:track:5HDG2PPLki6wowJvZbAH9d,https://api.spotify.com/v1/tracks/5HDG2PPLki6wowJvZbAH9d,https://api.spotify.com/v1/audio-analysis/5HDG2PPLki6wowJvZbAH9d,201340,4
Versus Me,Terrified,0.397,0.967,2,-2.982,0,0.185,3.38e-05,1.98e-06,0.282,0.431,169.924,audio_features,0wCT2ivXYnHssIDf2n3LV6,spotify:track:0wCT2ivXYnHssIDf2n3LV6,https://api.spotify.com/v1/tracks/0wCT2ivXYnHssIDf2n3LV6,https://api.spotify.com/v1/audio-analysis/0wCT2ivXYnHssIDf2n3LV6,206000,4
Bad Meets Evil,Fast Lane,0.615,0.871,1,-3.804,1,0.281,0.0388,0,0.246,0.338,119.149,audio_features,2c5Isyd07hWsl7AQia2Dig,spotify:track:2c5Isyd07hWsl7AQia2Dig,https://api.spotify.com/v1/tracks/2c5Isyd07hWsl7AQia2Dig,https://api.spotify.com/v1/audio-analysis/2c5Isyd07hWsl7AQia2Dig,249560,5
