artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
FBC,Baile de Ladrão,0.729,0.613,10,-7.141,1,0.297,0.139,0,0.0632,0.562,144.921,audio_features,26BFFHvyGkTgzYSw6l5VKs,spotify:track:26BFFHvyGkTgzYSw6l5VKs,https://api.spotify.com/v1/tracks/26BFFHvyGkTgzYSw6l5VKs,https://api.spotify.com/v1/audio-analysis/26BFFHvyGkTgzYSw6l5VKs,159627,4
Dreamville,Wells Fargo (with JID & EARTHGANG feat. Buddy & Guapdad 4000) - Interlude,0.8,0.826,1,-3.198,1,0.107,0.0706,4.76e-06,0.181,0.241,148.021,audio_features,2gtFMLjQpCTGekMi4oXZxN,spotify:track:2gtFMLjQpCTGekMi4oXZxN,https://api.spotify.com/v1/tracks/2gtFMLjQpCTGekMi4oXZxN,https://api.spotify.com/v1/audio-analysis/2gtFMLjQpCTGekMi4oXZxN,123413,4
JID,Bruuuh (with Denzel Curry) - Remix,0.813,0.621,9,-9.273,1,0.209,0.0144,4.03e-05,0.0793,0.377,112.101,audio_features,5LghBGmNUUwI2BvX2boIdK,spotify:track:5LghBGmNUUwI2BvX2boIdK,https://api.spotify.com/v1/tracks/5LghBGmNUUwI2BvX2boIdK,https://api.spotify.com/v1/audio-analysis/5LghBGmNUUwI2BvX2boIdK,206446,4
Yago Oproprio,Questão de Tempo,0.813,0.509,4,-12.016,0,0.463,0.766,0,0.104,0.554,94.228,audio_features,0hSTmN84rBWsU52Lu6lCj8,spotify:track:0hSTmN84rBWsU52Lu6lCj8,https://api.spotify.com/v1/tracks/0hSTmN84rBWsU52Lu6lCj8,https://api.spotify.com/v1/audio-analysis/0hSTmN84rBWsU52Lu6lCj8,171375,4
Febre90s,Você Está Com Febre?,0.643,0.862,11,-5.578,0,0.27,0.0515,0,0.147,0.61,95.04,audio_features,6hC66C3uYkWWqCXBmyLpLd,spotify:track:6hC66C3uYkWWqCXBmyLpLd,https://api.spotify.com/v1/tracks/6hC66C3uYkWWqCXBmyLpLd,https://api.spotify.com/v1/audio-analysis/6hC66C3uYkWWqCXBmyLpLd,165474,4
Coruja Bc1,Versão Brasileira,0.646,0.668,11,-5.201,1,0.348,0.0858,0,0.1,0.717,150.68,audio_features,6eiE8aADzURp3fqxIRfAth,spotify:track:6eiE8aADzURp3fqxIRfAth,https://api.spotify.com/v1/tracks/6eiE8aADzURp3fqxIRfAth,https://api.spotify.com/v1/audio-analysis/6eiE8aADzURp3fqxIRfAth,140960,4
Major RD,60K,0.667,0.733,3,-6.091,0,0.294,0.689,1.63e-06,0.0965,0.578,132.981,audio_features,45T7K7sercGwxi5sU4wqAK,spotify:track:45T7K7sercGwxi5sU4wqAK,https://api.spotify.com/v1/tracks/45T7K7sercGwxi5sU4wqAK,https://api.spotify.com/v1/audio-analysis/45T7K7sercGwxi5sU4wqAK,158797,4
Rock Danger,Liderança,0.73,0.813,5,-4.264,0,0.0917,0.696,3.22e-05,0.127,0.619,109.942,audio_features,7dKz6xy1ZMywmrrP5HMw8u,spotify:track:7dKz6xy1ZMywmrrP5HMw8u,https://api.spotify.com/v1/tracks/7dKz6xy1ZMywmrrP5HMw8u,https://api.spotify.com/v1/audio-analysis/7dKz6xy1ZMywmrrP5HMw8u,210445,4
J. Cole,KOD,0.823,0.783,0,-6.274,1,0.154,0.21,0,0.113,0.199,141.882,audio_features,7yotKA30dwTKNEGomV9ZsI,spotify:track:7yotKA30dwTKNEGomV9ZsI,https://api.spotify.com/v1/tracks/7yotKA30dwTKNEGomV9ZsI,https://api.spotify.com/v1/audio-analysis/7yotKA30dwTKNEGomV9ZsI,191437,4
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),0.741,0.691,10,-7.395,0,0.0672,0.0221,0,0.0476,0.892,150.087,audio_features,5Z9KJZvQzH6PFmb8SNkxuk,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,https://api.spotify.com/v1/tracks/5Z9KJZvQzH6PFmb8SNkxuk,https://api.spotify.com/v1/audio-analysis/5Z9KJZvQzH6PFmb8SNkxuk,212353,4
