artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
créature sonore,nocturnal phenomenon,0.737,0.14,5,-18.392,1,0.0348,0.979,0.95,0.0735,0.223,75.026,audio_features,4KhIZTrM76kZYnobWSctcH,spotify:track:4KhIZTrM76kZYnobWSctcH,https://api.spotify.com/v1/tracks/4KhIZTrM76kZYnobWSctcH,https://api.spotify.com/v1/audio-analysis/4KhIZTrM76kZYnobWSctcH,111533,4
No Spirit,slow breaths,0.596,0.097,2,-20.731,0,0.0449,0.914,0.919,0.0886,0.0376,119.984,audio_features,33hq1sgjWRI2OqgjHiGGJY,spotify:track:33hq1sgjWRI2OqgjHiGGJY,https://api.spotify.com/v1/tracks/33hq1sgjWRI2OqgjHiGGJY,https://api.spotify.com/v1/audio-analysis/33hq1sgjWRI2OqgjHiGGJY,224625,4
Tosama Beats,Dreaming backwards,0.548,0.42,2,-11.216,1,0.0341,0.234,0.91,0.129,0.0392,127.446,audio_features,4epQU3jkMsqLULLPBG93wm,spotify:track:4epQU3jkMsqLULLPBG93wm,https://api.spotify.com/v1/tracks/4epQU3jkMsqLULLPBG93wm,https://api.spotify.com/v1/audio-analysis/4epQU3jkMsqLULLPBG93wm,139377,4
Tosama Beats,Peaceful sunrise,0.611,0.275,0,-14.235,1,0.0311,0.886,0.925,0.0795,0.079,91.197,audio_features,5i8tx4ImAml95bQfgLvYwq,spotify:track:5i8tx4ImAml95bQfgLvYwq,https://api.spotify.com/v1/tracks/5i8tx4ImAml95bQfgLvYwq,https://api.spotify.com/v1/audio-analysis/5i8tx4ImAml95bQfgLvYwq,128225,4
créature sonore,vivid harmony,0.695,0.18,3,-17.199,0,0.0471,0.821,0.862,0.0985,0.0943,135.995,audio_features,1iUSIYMw3iTfdMUxSmFRYc,spotify:track:1iUSIYMw3iTfdMUxSmFRYc,https://api.spotify.com/v1/tracks/1iUSIYMw3iTfdMUxSmFRYc,https://api.spotify.com/v1/audio-analysis/1iUSIYMw3iTfdMUxSmFRYc,116471,4
Tosama Beats,Memories from the past,0.529,0.151,1,-16.466,1,0.0315,0.859,0.962,0.0996,0.153,105.992,audio_features,24LlF3TTdYpvG0xYf1TiUq,spotify:track:24LlF3TTdYpvG0xYf1TiUq,https://api.spotify.com/v1/tracks/24LlF3TTdYpvG0xYf1TiUq,https://api.spotify.com/v1/audio-analysis/24LlF3TTdYpvG0xYf1TiUq,203769,4
prins,nostalgia,0.761,0.0814,1,-17.436,1,0.0387,0.963,0.923,0.401,0.141,61.987,audio_features,4FNRJsq9TSqyDZabFfJXSc,spotify:track:4FNRJsq9TSqyDZabFfJXSc,https://api.spotify.com/v1/tracks/4FNRJsq9TSqyDZabFfJXSc,https://api.spotify.com/v1/audio-analysis/4FNRJsq9TSqyDZabFfJXSc,170323,4
Chillhop World,Journey reflections,0.427,0.317,0,-15.806,1,0.0283,0.737,0.913,0.12,0.205,90.056,audio_features,4VokCQiOPE3ebr8uXMGRD3,spotify:track:4VokCQiOPE3ebr8uXMGRD3,https://api.spotify.com/v1/tracks/4VokCQiOPE3ebr8uXMGRD3,https://api.spotify.com/v1/audio-analysis/4VokCQiOPE3ebr8uXMGRD3,158212,4
créature sonore,ce doux sentiment,0.715,0.183,9,-16.049,0,0.0372,0.95,0.918,0.0957,0.177,131.984,audio_features,2MRfs3EtiGClVPvxe2N2Kt,spotify:track:2MRfs3EtiGClVPvxe2N2Kt,https://api.spotify.com/v1/tracks/2MRfs3EtiGClVPvxe2N2Kt,https://api.spotify.com/v1/audio-analysis/2MRfs3EtiGClVPvxe2N2Kt,116000,4
Tosama Beats,Go to sleep,0.686,0.322,0,-13.123,0,0.0435,0.61,0.573,0.109,0.168,88.016,audio_features,2dURV0O7fhjw2qpIDmY5IZ,spotify:track:2dURV0O7fhjw2qpIDmY5IZ,https://api.spotify.com/v1/tracks/2dURV0O7fhjw2qpIDmY5IZ,https://api.spotify.com/v1/audio-analysis/2dURV0O7fhjw2qpIDmY5IZ,177455,4
